"Commodity-wise, Market-wise Daily Report for State (Market Category wise) on: 05-Jun-2026 for State : Madhya Pradesh, Market Category : All Categories"

Market,Arrivals,Unit of Arrivals,Variety,Minimum Prices,Maximum Prices,Modal Prices,Unit of Price
Commodity Group Name : Cereals
Commodity Name : Bajra(Pearl Millet/Cumbu)
,10.295000000000002,Metric Tonnes,Other,2385.0,2555.0,2555.0,Rs./Quintal
Gorakhpur APMC,15.200000000000001,Metric Tonnes,Mill Quality,2585.0,2586.0,2585.0,Rs./Quintal
Gotegaon APMC,248.945,Metric Tonnes,Wheat,2225.0,2321.0,2280.0,Rs./Quintal
,20.900000000000002,Metric Tonnes,Wheat,2350.0,2350.0,2350.0,Rs./Quintal
Gulabganj APMC,0.5,Metric Tonnes,Wheat,2450.0,2470.0,2470.0,Rs./Quintal
Guna APMC,1755.378,Metric Tonnes,Wheat,2290.0,4455.0,2500.0,Rs./Quintal
,25.736000000000004,Metric Tonnes,Sharbati,3355.0,4865.0,4865.0,Rs./Quintal
Haatpipliya APMC,87.459,Metric Tonnes,Wheat,1700.0,2646.0,2416.0,Rs./Quintal
Hanumana APMC,180.5,Metric Tonnes,Mill Quality,2300.0,2300.0,2300.0,Rs./Quintal
Harda APMC,547.553,Metric Tonnes,Mill Quality,1701.0,2502.0,2320.0,Rs./Quintal
,19.8,Metric Tonnes,Mill Quality,2350.0,2350.0,2350.0,Rs./Quintal
Harpalpur APMC,128.09300000000002,Metric Tonnes,Wheat,2344.0,2388.0,2366.0,Rs./Quintal
Harsood APMC,27.585000000000004,Metric Tonnes,Mill Quality,2298.0,2325.0,2325.0,Rs./Quintal
,146.84,Metric Tonnes,Wheat,1891.0,2319.0,2291.0,Rs./Quintal
Hata APMC,383.774,Metric Tonnes,Wheat,2240.0,2280.0,2250.0,Rs./Quintal
Hoshangabad APMC,15.15,Metric Tonnes,Mill Quality,2250.0,2290.0,2290.0,Rs./Quintal
Ichhawar APMC,2.5100000000000002,Metric Tonnes,Sharbati,2531.0,2601.0,2601.0,Rs./Quintal
,52.065,Metric Tonnes,Wheat,2280.0,2650.0,2500.0,Rs./Quintal
Indore APMC,575.419,Metric Tonnes,Wheat,1100.0,2951.0,2470.0,Rs./Quintal
,8.65,Metric Tonnes,Malwa Shakti,2450.0,2520.0,2520.0,Rs./Quintal
Isagarh APMC,49.831,Metric Tonnes,Wheat,2330.0,4200.0,2505.0,Rs./Quintal
,17.465,Metric Tonnes,Sharbati,2400.0,3790.0,2460.0,Rs./Quintal
Itarsi APMC,18.96,Metric Tonnes,Mill Quality,2361.0,2379.0,2379.0,Rs./Quintal
,611.395,Metric Tonnes,Wheat,1700.0,2390.0,2345.0,Rs./Quintal
Jabalpur APMC,426.48199999999997,Metric Tonnes,Wheat,1800.0,2350.0,2286.0,Rs./Quintal
,409.076,Metric Tonnes,Wheat,1961.0,2351.0,2280.0,Rs./Quintal
Jaora APMC,571.278,Metric Tonnes,Wheat,1631.0,2952.0,2300.0,Rs./Quintal
,8.57,Metric Tonnes,Mill Quality,2260.0,2440.0,2440.0,Rs./Quintal
Jatara APMC,74.132,Metric Tonnes,Wheat,2350.0,2398.0,2398.0,Rs./Quintal
Javad APMC,206.3,Metric Tonnes,Wheat,2345.0,2491.0,2380.0,Rs./Quintal
Javera APMC,102.88900000000001,Metric Tonnes,Mill Quality,2215.0,2250.0,2250.0,Rs./Quintal
,7.304000000000001,Metric Tonnes,Wheat,2211.0,2250.0,2250.0,Rs./Quintal
,79.70700000000001,Metric Tonnes,Wheat,2200.0,2255.0,2250.0,Rs./Quintal
Jeerapur APMC,142.86800000000002,Metric Tonnes,Wheat,1650.0,2375.0,2345.0,Rs./Quintal
Jhabua APMC,102.24400000000001,Metric Tonnes,Wheat,2400.0,2545.0,2450.0,Rs./Quintal
Jobat APMC,113.16,Metric Tonnes,Wheat,2100.0,2222.0,2200.0,Rs./Quintal
,3.1,Metric Tonnes,Mill Quality,2200.0,2200.0,2200.0,Rs./Quintal
Kailaras APMC,10.028,Metric Tonnes,Wheat,2350.0,2360.0,2357.0,Rs./Quintal
Kalapipal APMC,33.148,Metric Tonnes,Wheat,2199.0,2596.0,2500.0,Rs./Quintal
,6.849,Metric Tonnes,Sharbati,2310.0,2571.0,2571.0,Rs./Quintal
Kannod APMC,65.991,Metric Tonnes,Wheat,2200.0,2405.0,2332.0,Rs./Quintal
Kareli APMC,205.85500000000002,Metric Tonnes,Wheat,2150.0,2360.0,2250.0,Rs./Quintal
Karera APMC,221.197,Metric Tonnes,Mill Quality,2282.0,2388.0,2365.0,Rs./Quintal
,145.22,Metric Tonnes,Wheat,2330.0,2380.0,2350.0,Rs./Quintal
,61.03,Metric Tonnes,Wheat,2245.0,2360.0,2360.0,Rs./Quintal
Karhi APMC,42.195,Metric Tonnes,Wheat,2330.0,2435.0,2425.0,Rs./Quintal
Kasrawad APMC,396.09000000000003,Metric Tonnes,Wheat,2135.0,2470.0,2465.0,Rs./Quintal
,8.705,Metric Tonnes,Wheat Mix,2400.0,2450.0,2450.0,Rs./Quintal
Katni APMC,34.0,Metric Tonnes,Wheat,2300.0,2300.0,2300.0,Rs./Quintal
,88.95,Metric Tonnes,Mill Quality,2240.0,2280.0,2260.0,Rs./Quintal
,873.5700000000002,Metric Tonnes,Wheat,2050.0,2395.0,2341.0,Rs./Quintal
,36.800000000000004,Metric Tonnes,Mill Quality,2225.0,2260.0,2250.0,Rs./Quintal
Keolari APMC,65.83,Metric Tonnes,Wheat,2230.0,2350.0,2350.0,Rs./Quintal
,34.6,Metric Tonnes,Wheat,2260.0,2275.0,2260.0,Rs./Quintal
Khachrod APMC,41.875,Metric Tonnes,Wheat,2160.0,2511.0,2355.0,Rs./Quintal
Khandwa APMC,54.35,Metric Tonnes,Wheat,2270.0,2460.0,2385.0,Rs./Quintal
,697.725,Metric Tonnes,Mill Quality,2068.0,2500.0,2350.0,Rs./Quintal
Khaniadhana APMC,39.0,Metric Tonnes,Mill Quality,2315.0,2352.0,2325.0,Rs./Quintal
,39.800000000000004,Metric Tonnes,Mill Quality,2325.0,2348.0,2348.0,Rs./Quintal
Khargone APMC,543.832,Metric Tonnes,Wheat,2100.0,2462.0,2370.0,Rs./Quintal
,28.080000000000002,Metric Tonnes,Mill Quality,2200.0,2250.0,2200.0,Rs./Quintal
,8.78,Metric Tonnes,Wheat,2375.0,2400.0,2400.0,Rs./Quintal
Khategaon APMC,204.33100000000002,Metric Tonnes,Wheat,2000.0,2430.0,2300.0,Rs./Quintal
Khatora APMC,3.6,Metric Tonnes,Wheat,2350.0,2435.0,2435.0,Rs./Quintal
Khetia APMC,4.38,Metric Tonnes,Lokwan,2420.0,2440.0,2440.0,Rs./Quintal
Khilchipur APMC,92.64800000000001,Metric Tonnes,Mill Quality,2238.0,2350.0,2327.0,Rs./Quintal
Khirakiya APMC,0.657,Metric Tonnes,Mill Quality,2200.0,2225.0,2225.0,Rs./Quintal
,42.97,Metric Tonnes,Wheat,2250.0,2300.0,2300.0,Rs./Quintal
,0.48300000000000004,Metric Tonnes,Local,2225.0,2225.0,2225.0,Rs./Quintal
,542.086,Metric Tonnes,Mill Quality,1800.0,2452.0,2200.0,Rs./Quintal
Khujner APMC,83.075,Metric Tonnes,Wheat,2148.0,2364.0,2330.0,Rs./Quintal
Khurai APMC,2.4600000000000004,Metric Tonnes,Sharbati,2455.0,2455.0,2455.0,Rs./Quintal
,170.57100000000003,Metric Tonnes,Wheat,2200.0,3465.0,2300.0,Rs./Quintal
Kolaras APMC,7.957,Metric Tonnes,Wheat,2445.0,2560.0,2560.0,Rs./Quintal
,318.985,Metric Tonnes,Wheat,2175.0,2585.0,2435.0,Rs./Quintal
Krishi Upaj Mandi Samiti Bichhiya,21.11,Metric Tonnes,Wheat,2425.0,2525.0,2525.0,Rs./Quintal
Kukshi APMC,122.36600000000001,Metric Tonnes,Wheat,2180.0,2370.0,2350.0,Rs./Quintal
,40.645,Metric Tonnes,Mill Quality,2300.0,2350.0,2350.0,Rs./Quintal
,30.035000000000004,Metric Tonnes,Wheat,2190.0,2365.0,2350.0,Rs./Quintal
Kumbhraj APMC,166.621,Metric Tonnes,Wheat,2280.0,2700.0,2355.0,Rs./Quintal
Kurawar APMC,49.434,Metric Tonnes,Sharbati,2310.0,2565.0,2555.0,Rs./Quintal
,2.195,Metric Tonnes,Mill Quality,2270.0,2270.0,2270.0,Rs./Quintal
,330.712,Metric Tonnes,Wheat,1430.0,2660.0,2285.0,Rs./Quintal
Lahar APMC,187.03,Metric Tonnes,Wheat,2270.0,2341.0,2336.0,Rs./Quintal
,8.0,Metric Tonnes,Mill Quality,2332.0,2332.0,2332.0,Rs./Quintal
Lakhnadon APMC,14.0,Metric Tonnes,Mill Quality,2200.0,2210.0,2210.0,Rs./Quintal
,26.900000000000002,Metric Tonnes,Mill Quality,2207.0,2208.0,2207.0,Rs./Quintal
Lashkar APMC,21.630000000000003,Metric Tonnes,Wheat,2350.0,2465.0,2375.0,Rs./Quintal
,33.800000000000004,Metric Tonnes,Mill Quality,2300.0,2300.0,2300.0,Rs./Quintal
,210.789,Metric Tonnes,Wheat,2175.0,2475.0,2365.0,Rs./Quintal
Lateri APMC,42.283,Metric Tonnes,Wheat,2240.0,3550.0,2325.0,Rs./Quintal
,13.703000000000001,Metric Tonnes,Wheat,2250.0,2500.0,2500.0,Rs./Quintal
LavKush Nagar(Laundi) APMC,8.509,Metric Tonnes,Mill Quality,2305.0,2305.0,2305.0,Rs./Quintal
,23.900000000000002,Metric Tonnes,Wheat,2300.0,2305.0,2300.0,Rs./Quintal
,31.3,Metric Tonnes,Mill Quality,2300.0,2350.0,2310.0,Rs./Quintal
Loharda APMC,201.362,Metric Tonnes,Wheat,2240.0,2650.0,2600.0,Rs./Quintal
Machalpur APMC,7.939,Metric Tonnes,Wheat,2190.0,2320.0,2320.0,Rs./Quintal
Magroni APMC,36.515,Metric Tonnes,Wheat,2250.0,2421.0,2319.0,Rs./Quintal
Mahidpur APMC,137.056,Metric Tonnes,Wheat,2088.0,2685.0,2406.0,Rs./Quintal
,2.8070000000000004,Metric Tonnes,Mill Quality,2252.0,2252.0,2252.0,Rs./Quintal
,0.6190000000000001,Metric Tonnes,Local,2222.0,2222.0,2222.0,Rs./Quintal
Maksudangarh APMC,272.112,Metric Tonnes,Wheat,1900.0,2621.0,2300.0,Rs./Quintal
,94.09100000000001,Metric Tonnes,Wheat,2161.0,2595.0,2405.0,Rs./Quintal
Manasa APMC,222.57,Metric Tonnes,Wheat,1000.0,2521.0,2420.0,Rs./Quintal
Manawar APMC,158.12300000000002,Metric Tonnes,Wheat,2200.0,2500.0,2360.0,Rs./Quintal
,56.035000000000004,Metric Tonnes,Wheat,2350.0,2490.0,2480.0,Rs./Quintal
Mandla APMC,7.5,Metric Tonnes,Mill Quality,2200.0,2200.0,2200.0,Rs./Quintal
,1.2000000000000002,Metric Tonnes,Mill Quality,2240.0,2240.0,2240.0,Rs./Quintal
Mandsaur APMC,32.539,Metric Tonnes,Lokwan,2341.0,2802.0,2561.0,Rs./Quintal
,336.666,Metric Tonnes,Lokwan,2201.0,2911.0,2501.0,Rs./Quintal
,315.25700000000006,Metric Tonnes,Wheat,2136.0,2921.0,2301.0,Rs./Quintal
,8.361,Metric Tonnes,Mill Quality,2437.0,2551.0,2551.0,Rs./Quintal
,24.168000000000003,Metric Tonnes,Wheat,2052.0,2851.0,2301.0,Rs./Quintal
Mehar APMC,96.155,Metric Tonnes,Local,2260.0,2310.0,2275.0,Rs./Quintal
,8.406,Metric Tonnes,Local,2310.0,2310.0,2310.0,Rs./Quintal
Mehgaon APMC,13.930000000000001,Metric Tonnes,Wheat,2290.0,2395.0,2295.0,Rs./Quintal
Mhow APMC,144.098,Metric Tonnes,Wheat,1550.0,2575.0,2371.0,Rs./Quintal
Momanbadodiya APMC,4.1000000000000005,Metric Tonnes,Wheat,2200.0,2300.0,2300.0,Rs./Quintal
Morena APMC,76.228,Metric Tonnes,Wheat,2410.0,2435.0,2428.0,Rs./Quintal
Mow APMC,10.0,Metric Tonnes,Wheat,2290.0,2300.0,2300.0,Rs./Quintal
,61.377,Metric Tonnes,Wheat,2145.0,2310.0,2300.0,Rs./Quintal
Multai APMC,108.65,Metric Tonnes,Mill Quality,2300.0,2405.0,2405.0,Rs./Quintal
,90.60000000000001,Metric Tonnes,Wheat,2290.0,2325.0,2300.0,Rs./Quintal
Mungawali APMC,2.285,Metric Tonnes,Wheat,2375.0,2385.0,2385.0,Rs./Quintal
,138.032,Metric Tonnes,Wheat,2225.0,2470.0,2350.0,Rs./Quintal
Nagda APMC,5.0200000000000005,Metric Tonnes,Wheat,2295.0,2295.0,2295.0,Rs./Quintal
,28.880000000000003,Metric Tonnes,Wheat,2135.0,2465.0,2390.0,Rs./Quintal
,14.853000000000002,Metric Tonnes,Mill Quality,2290.0,2410.0,2290.0,Rs./Quintal
Nagod APMC,45.300000000000004,Metric Tonnes,Mill Quality,2360.0,2370.0,2365.0,Rs./Quintal
,286.434,Metric Tonnes,Wheat,2125.0,2395.0,2300.0,Rs./Quintal
Nainpur APMC,28.200000000000003,Metric Tonnes,Local,2250.0,2255.0,2250.0,Rs./Quintal
,62.7,Metric Tonnes,Wheat,2240.0,2300.0,2300.0,Rs./Quintal
,82.89,Metric Tonnes,Mill Quality,2250.0,2450.0,2250.0,Rs./Quintal
Nalkehda APMC,85.02000000000001,Metric Tonnes,Wheat,2217.0,2370.0,2296.0,Rs./Quintal
,51.970000000000006,Metric Tonnes,Mill Quality,2201.0,2260.0,2250.0,Rs./Quintal
Narsinghgarh APMC,3.2640000000000002,Metric Tonnes,Mill Quality,2271.0,2416.0,2400.0,Rs./Quintal
,397.147,Metric Tonnes,Wheat,1510.0,2540.0,2340.0,Rs./Quintal
Narsinghpur APMC,210.74,Metric Tonnes,Mill Quality,2200.0,2412.0,2300.0,Rs./Quintal
,287.225,Metric Tonnes,Mill Quality,1501.0,2396.0,2250.0,Rs./Quintal
Nasrullaganj APMC,56.776,Metric Tonnes,Wheat,2200.0,2448.0,2272.0,Rs./Quintal
,50.277,Metric Tonnes,Wheat,2150.0,2365.0,2265.0,Rs./Quintal
,13.762,Metric Tonnes,Sharbati,2400.0,2450.0,2450.0,Rs./Quintal
Neemuch APMC,397.781,Metric Tonnes,Wheat,1900.0,2816.0,2451.0,Rs./Quintal
Niwadi APMC,805.008,Metric Tonnes,Mill Quality,2225.0,2458.0,2400.0,Rs./Quintal
,60.0,Metric Tonnes,Other,2390.0,2430.0,2410.0,Rs./Quintal
Obedullaganj APMC,1.3,Metric Tonnes,Wheat Mix,2150.0,2150.0,2150.0,Rs./Quintal
,59.662000000000006,Metric Tonnes,Malwa Shakti,2078.0,2376.0,2200.0,Rs./Quintal
,69.40700000000001,Metric Tonnes,Local,2050.0,2391.0,2300.0,Rs./Quintal
,68.72200000000001,Metric Tonnes,Wheat,2150.0,2300.0,2200.0,Rs./Quintal
Pachaur APMC,60.379999999999995,Metric Tonnes,Wheat,2200.0,2320.0,2300.0,Rs./Quintal
,5.519,Metric Tonnes,Wheat,2300.0,2310.0,2310.0,Rs./Quintal
,7.341,Metric Tonnes,Mill Quality,2250.0,2370.0,2370.0,Rs./Quintal
Pandhana APMC,33.815,Metric Tonnes,Wheat,2340.0,2365.0,2359.0,Rs./Quintal
Panna APMC,167.36300000000003,Metric Tonnes,Mill Quality,2220.0,2340.0,2265.0,Rs./Quintal
,117.905,Metric Tonnes,Mill Quality,2200.0,2316.0,2300.0,Rs./Quintal
Patharia APMC,5.023,Metric Tonnes,Wheat,2350.0,2350.0,2350.0,Rs./Quintal
Petlawad APMC,144.154,Metric Tonnes,Wheat,2250.0,2430.0,2300.0,Rs./Quintal
,39.0,Metric Tonnes,Mill Quality,2350.0,2500.0,2400.0,Rs./Quintal
Pichhour APMC,326.0,Metric Tonnes,Mill Quality,2314.0,2360.0,2340.0,Rs./Quintal
,151.4,Metric Tonnes,Wheat,2231.0,2315.0,2256.0,Rs./Quintal
Pipariya APMC,45.075,Metric Tonnes,Mill Quality,2500.0,2500.0,2500.0,Rs./Quintal
,957.43,Metric Tonnes,Wheat,2200.0,2500.0,2345.0,Rs./Quintal
Piplya APMC,53.587,Metric Tonnes,Wheat,2200.0,2625.0,2299.0,Rs./Quintal
,15.787,Metric Tonnes,Lokwan,2280.0,2499.0,2300.0,Rs./Quintal
,2.4600000000000004,Metric Tonnes,Lokwan,2451.0,2490.0,2490.0,Rs./Quintal
,12.274000000000001,Metric Tonnes,Mill Quality,2381.0,2461.0,2458.0,Rs./Quintal
,4.848,Metric Tonnes,Mill Quality,2301.0,2443.0,2309.0,Rs./Quintal
Piprai APMC,3.14,Metric Tonnes,Wheat,2330.0,2340.0,2330.0,Rs./Quintal
Pohari APMC,1.199,Metric Tonnes,Wheat,2320.0,2320.0,2320.0,Rs./Quintal
,3.408,Metric Tonnes,Mill Quality,2300.0,2310.0,2310.0,Rs./Quintal
,19.829,Metric Tonnes,Wheat,2210.0,2345.0,2330.0,Rs./Quintal
Porsa APMC,83.05000000000001,Metric Tonnes,Wheat,2390.0,2420.0,2415.0,Rs./Quintal
Raghogarh APMC,110.81900000000002,Metric Tonnes,Wheat,2295.0,2570.0,2450.0,Rs./Quintal
Rahatgarh APMC,18.680000000000003,Metric Tonnes,Wheat,2245.0,2250.0,2250.0,Rs./Quintal
,56.59,Metric Tonnes,Mill Quality,2280.0,2465.0,2465.0,Rs./Quintal
Raisen APMC,218.812,Metric Tonnes,Wheat,2200.0,2786.0,2598.0,Rs./Quintal
,35.913000000000004,Metric Tonnes,Sharbati,2900.0,2900.0,2900.0,Rs./Quintal
Rajgarh APMC,354.497,Metric Tonnes,Wheat,1900.0,2640.0,2400.0,Rs./Quintal
Rajnagar APMC,938.1,Metric Tonnes,Mill Quality,2260.0,2280.0,2265.0,Rs./Quintal
,140.5,Metric Tonnes,Mill Quality,2260.0,2300.0,2270.0,Rs./Quintal
Ratlam APMC,5.890000000000001,Metric Tonnes,Mill Quality,2355.0,2355.0,2355.0,Rs./Quintal
,15.61,Metric Tonnes,Lokwan,2235.0,2340.0,2340.0,Rs./Quintal
,624.672,Metric Tonnes,Wheat,2000.0,2900.0,2390.0,Rs./Quintal
,8.765,Metric Tonnes,Wheat,2375.0,2382.0,2382.0,Rs./Quintal
Rehati APMC,20.668000000000003,Metric Tonnes,Wheat,2200.0,2297.0,2270.0,Rs./Quintal
Rehli APMC,7.185,Metric Tonnes,Wheat,2305.0,2305.0,2305.0,Rs./Quintal
,209.29000000000002,Metric Tonnes,Wheat,2101.0,2395.0,2315.0,Rs./Quintal
Rewa APMC,64.05,Metric Tonnes,Wheat,2310.0,2425.0,2350.0,Rs./Quintal
,213.31500000000003,Metric Tonnes,Mill Quality,2210.0,2393.0,2340.0,Rs./Quintal
Sabalgarh APMC,15.545,Metric Tonnes,Mill Quality,2270.0,2365.0,2365.0,Rs./Quintal
Sagar APMC,737.2510000000001,Metric Tonnes,Wheat,2220.0,3525.0,2300.0,Rs./Quintal
Sailana APMC,98.977,Metric Tonnes,Wheat,1952.0,2900.0,2641.0,Rs./Quintal
,6.589,Metric Tonnes,Lokwan,2101.0,2467.0,2467.0,Rs./Quintal
Sanawad APMC,1.05,Metric Tonnes,Wheat,2050.0,2050.0,2050.0,Rs./Quintal
,261.385,Metric Tonnes,Wheat,2042.0,2395.0,2339.0,Rs./Quintal
Sanwer APMC,36.631,Metric Tonnes,Wheat,2200.0,2550.0,2550.0,Rs./Quintal
,26.263,Metric Tonnes,Wheat,2300.0,2520.0,2451.0,Rs./Quintal
Sarangpur APMC,6.420000000000001,Metric Tonnes,Wheat,2250.0,2351.0,2351.0,Rs./Quintal
,20.008000000000003,Metric Tonnes,Mill Quality,2250.0,2310.0,2300.0,Rs./Quintal
,8.726,Metric Tonnes,Wheat,2265.0,2580.0,2580.0,Rs./Quintal
Satna APMC,62.428,Metric Tonnes,Wheat,2275.0,2318.0,2300.0,Rs./Quintal
,7.050000000000001,Metric Tonnes,Mill Quality,2400.0,2400.0,2400.0,Rs./Quintal
,603.317,Metric Tonnes,Wheat,2070.0,2600.0,2320.0,Rs./Quintal
Segaon APMC,36.705000000000005,Metric Tonnes,Wheat,2350.0,2380.0,2360.0,Rs./Quintal
Sehore APMC,283.694,Metric Tonnes,Sharbati,2250.0,4250.0,2600.0,Rs./Quintal
,13.418000000000001,Metric Tonnes,Mill Quality,2280.0,2361.0,2361.0,Rs./Quintal
,29.091000000000005,Metric Tonnes,Malwa Shakti,2250.0,2482.0,2369.0,Rs./Quintal
,86.56900000000002,Metric Tonnes,Wheat,2260.0,4200.0,2500.0,Rs./Quintal
,67.328,Metric Tonnes,Lokwan,2261.0,2875.0,2600.0,Rs./Quintal
Semriharchand APMC,94.4,Metric Tonnes,Mill Quality,2000.0,2374.0,2325.0,Rs./Quintal
Sendhwa APMC,61.185,Metric Tonnes,Wheat,2351.0,2490.0,2485.0,Rs./Quintal
Seoni APMC,41.0,Metric Tonnes,Local,2351.0,2355.0,2351.0,Rs./Quintal
,66.66000000000001,Metric Tonnes,Wheat,2340.0,2378.0,2376.0,Rs./Quintal
,167.5,Metric Tonnes,Wheat,2250.0,2385.0,2340.0,Rs./Quintal
,127.79500000000002,Metric Tonnes,Local,2324.0,2380.0,2365.0,Rs./Quintal
,60.7,Metric Tonnes,Mill Quality,2300.0,2325.0,2300.0,Rs./Quintal
,26.900000000000002,Metric Tonnes,Mill Quality,2587.0,2590.0,2590.0,Rs./Quintal
Sevda APMC,73.3,Metric Tonnes,Mill Quality,2200.0,2338.0,2318.0,Rs./Quintal
,448.22200000000004,Metric Tonnes,Mill Quality,2240.0,2424.0,2360.0,Rs./Quintal
,142.5,Metric Tonnes,Wheat,2325.0,2365.0,2345.0,Rs./Quintal
,129.8,Metric Tonnes,Other,2200.0,2550.0,2540.0,Rs./Quintal
,202.9,Metric Tonnes,Wheat,2320.0,2410.0,2360.0,Rs./Quintal
Shadora APMC,18.751,Metric Tonnes,Sharbati,2650.0,2765.0,2650.0,Rs./Quintal
,3.8590000000000004,Metric Tonnes,Sharbati,2695.0,2935.0,2935.0,Rs./Quintal
,4.0,Metric Tonnes,Wheat,2625.0,2625.0,2625.0,Rs./Quintal
,108.721,Metric Tonnes,Wheat,2370.0,2605.0,2585.0,Rs./Quintal
Shahagarh APMC,35.4,Metric Tonnes,Wheat,2240.0,2245.0,2245.0,Rs./Quintal
,69.5,Metric Tonnes,Mill Quality,2200.0,2300.0,2280.0,Rs./Quintal
,120.60000000000001,Metric Tonnes,Mill Quality,2290.0,2350.0,2300.0,Rs./Quintal
,8.5,Metric Tonnes,Wheat,2360.0,2360.0,2360.0,Rs./Quintal
Shahpura APMC,40.800000000000004,Metric Tonnes,Mill Quality,2200.0,2350.0,2300.0,Rs./Quintal
,25.3,Metric Tonnes,Mill Quality,2150.0,2250.0,2250.0,Rs./Quintal
Shahpura Bhitoni (F&V) APMC,10.36,Metric Tonnes,Wheat,2000.0,2263.0,2263.0,Rs./Quintal
,145.537,Metric Tonnes,Mill Quality,2195.0,2400.0,2400.0,Rs./Quintal
Shajapur APMC,85.363,Metric Tonnes,Wheat,1212.0,2574.0,2360.0,Rs./Quintal
Shamgarh APMC,30.435000000000002,Metric Tonnes,Wheat,2216.0,2475.0,2436.0,Rs./Quintal
,8.237,Metric Tonnes,Mill Quality,2220.0,2436.0,2436.0,Rs./Quintal
Shamshabad APMC,8.35,Metric Tonnes,Mill Quality,2255.0,2255.0,2255.0,Rs./Quintal
,61.764,Metric Tonnes,Wheat,2200.0,2601.0,2271.0,Rs./Quintal
Sheopurbadod APMC,174.881,Metric Tonnes,Wheat,2081.0,2455.0,2370.0,Rs./Quintal
,28.0,Metric Tonnes,Wheat,2300.0,2320.0,2320.0,Rs./Quintal
Sheopurkalan APMC,150.24,Metric Tonnes,Wheat,2151.0,2598.0,2400.0,Rs./Quintal
,419.269,Metric Tonnes,Wheat,1715.0,2571.0,2450.0,Rs./Quintal
Shivpuri APMC,10.965000000000002,Metric Tonnes,Other,2425.0,2490.0,2490.0,Rs./Quintal
,28.968000000000004,Metric Tonnes,Wheat,2275.0,2480.0,2470.0,Rs./Quintal
Shujalpur APMC,88.756,Metric Tonnes,Wheat,2176.0,3090.0,2590.0,Rs./Quintal
Shyampur APMC,14.07,Metric Tonnes,Wheat,2195.0,2200.0,2200.0,Rs./Quintal
,32.199000000000005,Metric Tonnes,Mill Quality,2225.0,2405.0,2405.0,Rs./Quintal
Sidhi APMC,153.3,Metric Tonnes,Mill Quality,2200.0,2350.0,2320.0,Rs./Quintal
Sihora APMC,843.605,Metric Tonnes,Mill Quality,1725.0,2369.0,2270.0,Rs./Quintal
,120.43,Metric Tonnes,Mill Quality,2270.0,2386.0,2386.0,Rs./Quintal
Sironj APMC,87.23500000000001,Metric Tonnes,Sharbati,2535.0,4390.0,4040.0,Rs./Quintal
,344.672,Metric Tonnes,Wheat,2200.0,3900.0,2400.0,Rs./Quintal
Sitmau APMC,90.06900000000002,Metric Tonnes,Lokwan,1750.0,2571.0,2458.0,Rs./Quintal
,3.3920000000000003,Metric Tonnes,Mill Quality,2390.0,2470.0,2440.0,Rs./Quintal
,26.130000000000003,Metric Tonnes,Wheat,2253.0,2521.0,2490.0,Rs./Quintal
Sonkatch APMC,158.44000000000003,Metric Tonnes,Wheat,1910.0,2640.0,2280.0,Rs./Quintal
Susner APMC,37.47,Metric Tonnes,Wheat,2199.0,2460.0,2250.0,Rs./Quintal
,4.855,Metric Tonnes,Wheat,2275.0,2310.0,2310.0,Rs./Quintal
Suvasra APMC,25.528000000000002,Metric Tonnes,Wheat,2337.0,2340.0,2340.0,Rs./Quintal
,27.342000000000002,Metric Tonnes,Wheat,2295.0,2336.0,2336.0,Rs./Quintal
Taal APMC,19.165000000000003,Metric Tonnes,Lokwan,2100.0,2457.0,2457.0,Rs./Quintal
,43.239000000000004,Metric Tonnes,Wheat,2223.0,2536.0,2476.0,Rs./Quintal
,21.655,Metric Tonnes,Mill Quality,2350.0,2480.0,2401.0,Rs./Quintal
,8.0,Metric Tonnes,Mill Quality,2300.0,2300.0,2300.0,Rs./Quintal
Tarana APMC,8.8,Metric Tonnes,Mill Quality,2250.0,2250.0,2250.0,Rs./Quintal
,110.56500000000001,Metric Tonnes,Wheat,2130.0,2695.0,2400.0,Rs./Quintal
,8.5,Metric Tonnes,Wheat,2300.0,2300.0,2300.0,Rs./Quintal
,13.874000000000002,Metric Tonnes,Mill Quality,2400.0,2503.0,2400.0,Rs./Quintal
Tendukheda APMC,1.22,Metric Tonnes,Mill Quality,2250.0,2300.0,2300.0,Rs./Quintal
,7.6000000000000005,Metric Tonnes,Wheat,2161.0,2220.0,2220.0,Rs./Quintal
Thandla APMC,18.19,Metric Tonnes,Wheat,2350.0,2600.0,2600.0,Rs./Quintal
Tikamgarh APMC,721.519,Metric Tonnes,Wheat,2290.0,2491.0,2360.0,Rs./Quintal
Timarni APMC,377.475,Metric Tonnes,Wheat,2100.0,2357.0,2335.0,Rs./Quintal
Udaipura APMC,190.93,Metric Tonnes,Mill Quality,1750.0,2360.0,2360.0,Rs./Quintal
Ujjain APMC,19.004,Metric Tonnes,Mill Quality,2294.0,2434.0,2434.0,Rs./Quintal
,523.032,Metric Tonnes,Wheat,1200.0,2942.0,2400.0,Rs./Quintal
Umariya APMC,148.119,Metric Tonnes,Wheat,2200.0,2260.0,2250.0,Rs./Quintal
,8.5,Metric Tonnes,Local,2240.0,2240.0,2240.0,Rs./Quintal
,8.0,Metric Tonnes,Other,2000.0,2000.0,2000.0,Rs./Quintal
Unhel APMC,26.223000000000003,Metric Tonnes,Wheat,1961.0,2492.0,2261.0,Rs./Quintal
